mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_nn_model__batch_size,param_nn_model__dropout,param_nn_model__epochs,param_nn_model__input_dim,param_nn_model__optimizer,params,split0_test_percentile99,split1_test_percentile99,mean_test_percentile99,std_test_percentile99,rank_test_percentile99,split0_test_MAPE,split1_test_MAPE,mean_test_MAPE,std_test_MAPE,rank_test_MAPE
300.509290337563,1.8323677778244,51.5257701873779,9.38936281204224,75,0.1,200,22,adam,"{'nn_model__batch_size': 75, 'nn_model__dropout': 0.1, 'nn_model__epochs': 200, 'nn_model__input_dim': 22, 'nn_model__optimizer': 'adam'}",-98.9288240051269,-98.9860997009277,-98.9574618530273,0.028637847900392,39,-30.6608142852783,-30.9314041137695,-30.7961091995239,0.135294914245606,1
441.047832012177,2.56306219100952,98.8881714344025,2.33388066291809,75,0.2,300,22,adam,"{'nn_model__batch_size': 75, 'nn_model__dropout': 0.2, 'nn_model__epochs': 300, 'nn_model__input_dim': 22, 'nn_model__optimizer': 'adam'}",-97.8351593780518,-98.4628678131103,-98.1490135955811,0.313854217529297,8,-30.9661235809326,-33.0763359069824,-32.0212297439575,1.0551061630249,2
277.013385415077,2.85132944583893,82.532666683197,3.57626628875732,50,0,150,22,adam,"{'nn_model__batch_size': 50, 'nn_model__dropout': 0, 'nn_model__epochs': 150, 'nn_model__input_dim': 22, 'nn_model__optimizer': 'adam'}",-99.2922268676758,-99.8656187438965,-99.5789228057861,0.286695938110356,64,-31.6085472106934,-32.7827110290527,-32.195629119873,0.587081909179688,3
305.708563446999,0.456938147544861,150.923428654671,2.01277363300323,100,0,300,22,adam,"{'nn_model__batch_size': 100, 'nn_model__dropout': 0, 'nn_model__epochs': 300, 'nn_model__input_dim': 22, 'nn_model__optimizer': 'adam'}",-99.092882232666,-97.5786655426025,-98.3357738876343,0.757108345031732,13,-32.9982490539551,-31.4475936889648,-32.22292137146,0.775327682495117,4
238.43647146225,4.88156270980835,57.6874240636826,13.3711687326431,100,0.1,200,22,adam,"{'nn_model__batch_size': 100, 'nn_model__dropout': 0.1, 'nn_model__epochs': 200, 'nn_model__input_dim': 22, 'nn_model__optimizer': 'adam'}",-99.5410546875,-116.218587341309,-107.879821014404,8.33876632690426,136,-32.7342758178711,-33.1163711547852,-32.9253234863281,0.191047668457031,5
206.411102175713,7.04813969135284,137.331105947495,3.40947246551514,200,0.2,300,22,adam,"{'nn_model__batch_size': 200, 'nn_model__dropout': 0.2, 'nn_model__epochs': 300, 'nn_model__input_dim': 22, 'nn_model__optimizer': 'adam'}",-99.6655493927002,-98.1873404693604,-98.9264449310303,0.739104461669903,36,-32.4906349182129,-33.418830871582,-32.9547328948975,0.46409797668457,6
287.646054029465,0.359825134277344,85.4226061105728,2.99230587482452,75,0.2,200,22,adam,"{'nn_model__batch_size': 75, 'nn_model__dropout': 0.2, 'nn_model__epochs': 200, 'nn_model__input_dim': 22, 'nn_model__optimizer': 'adam'}",-96.9818334960937,-97.0077886962891,-96.9948110961914,0.012977600097656,1,-33.1877288818359,-32.8912887573242,-33.0395088195801,0.148220062255859,7
1182.93538761139,3.80003046989441,52.3189607858658,4.27820837497711,25,0.2,300,22,adam,"{'nn_model__batch_size': 25, 'nn_model__dropout': 0.2, 'nn_model__epochs': 300, 'nn_model__input_dim': 22, 'nn_model__optimizer': 'adam'}",-98.6225113677979,-98.5640411376953,-98.5932762527466,0.029235115051272,24,-32.1088600158691,-34.5479583740234,-33.3284091949463,1.21954917907715,8
1043.64093434811,13.4248429536819,61.9560023546219,0.964897513389587,25,0,300,22,adam,"{'nn_model__batch_size': 25, 'nn_model__dropout': 0, 'nn_model__epochs': 300, 'nn_model__input_dim': 22, 'nn_model__optimizer': 'adam'}",-150.595464172363,-110.041130371093,-130.318297271728,20.2771669006349,213,-33.9332885742188,-32.8714294433594,-33.4023590087891,0.530929565429688,9
677.05613732338,2.86735773086548,84.7819314002991,0.878239393234253,25,0,200,22,adam,"{'nn_model__batch_size': 25, 'nn_model__dropout': 0, 'nn_model__epochs': 200, 'nn_model__input_dim': 22, 'nn_model__optimizer': 'adam'}",-99.3589498901367,-99.4998915100098,-99.4294207000732,0.070470809936531,56,-32.3496055603027,-34.5389022827148,-33.4442539215088,1.09464836120605,10
520.696522474289,1.57792830467224,56.9127250909805,13.7772020101547,50,0.1,250,22,adam,"{'nn_model__batch_size': 50, 'nn_model__dropout': 0.1, 'nn_model__epochs': 250, 'nn_model__input_dim': 22, 'nn_model__optimizer': 'adam'}",-98.0842304229736,-98.6326187896728,-98.3584246063233,0.274194183349614,15,-33.9450035095215,-33.0936737060547,-33.5193386077881,0.425664901733398,11
1185.81752336025,10.8358782529831,59.3893849849701,0.206888675689697,25,0.3,300,22,adam,"{'nn_model__batch_size': 25, 'nn_model__dropout': 0.3, 'nn_model__epochs': 300, 'nn_model__input_dim': 22, 'nn_model__optimizer': 'adam'}",-97.736932144165,-96.9702562713623,-97.3535942077637,0.383337936401347,3,-33.6005020141602,-33.5050964355469,-33.5527992248535,0.047702789306641,12
356.593803286552,13.1722265481949,86.7429381608963,10.9808107614517,100,0.1,300,22,adam,"{'nn_model__batch_size': 100, 'nn_model__dropout': 0.1, 'nn_model__epochs': 300, 'nn_model__input_dim': 22, 'nn_model__optimizer': 'adam'}",-99.7903768157959,-103.017226715088,-101.403801765442,1.61342494964593,95,-35.1141052246094,-32.1118698120117,-33.6129875183105,1.50111770629883,13
