mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_nn_model__batch_size,param_nn_model__dropout,param_nn_model__epochs,param_nn_model__input_dim,param_nn_model__learning_rate,param_nn_model__nodes_per_layer,param_nn_model__optimizer,params,split0_test_percentile99,split1_test_percentile99,mean_test_percentile99,std_test_percentile99,rank_test_percentile99,split0_train_percentile99,split1_train_percentile99,mean_train_percentile99,std_train_percentile99,split0_test_MAPE,split1_test_MAPE,mean_test_MAPE,std_test_MAPE,rank_test_MAPE,split0_train_MAPE,split1_train_MAPE,mean_train_MAPE,std_train_MAPE
22.36046850681305,0.3816472291946411,5.516564607620239,0.01403355598449707,512,0.24883183323632463,103,22,0.005635221042987828,"(10, 5)",adam,"{'nn_model__batch_size': 512, 'nn_model__dropout': 0.24883183323632463, 'nn_model__epochs': 103, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.005635221042987828, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-118.71244588593643,-99.75266082763672,-109.23255335678657,9.479892529149858,72,-117.62769248962354,-99.73183385386682,-108.67976317174518,8.947929317878362,-43.25536106156988,-48.88449478149414,-46.069927921532006,2.814566859962131,24,-43.243961334228516,-48.630128811169754,-45.937045072699135,2.6930837384706194
259.43049573898315,5.313118934631348,5.810293436050415,0.06392765045166016,128,0.38998790405940176,329,22,0.0004004495983697578,"(10, 10, 7, 5)",adam,"{'nn_model__batch_size': 128, 'nn_model__dropout': 0.38998790405940176, 'nn_model__epochs': 329, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.0004004495983697578, 'nn_model__nodes_per_layer': (10, 10, 7, 5), 'nn_model__optimizer': 'adam'}",-99.28817195837047,-99.86862823486327,-99.57840009661686,0.29022813824639826,40,-99.29419349670411,-99.88748804982887,-99.59084077326649,0.296647276562382,-50.026330538073346,-50.44156265258789,-50.233946595330615,0.2076160572572725,43,-49.93144607543945,-50.27474907653838,-50.10309757598891,0.1716515005494621
65.57114720344543,0.36360692977905273,5.5494513511657715,0.03119373321533203,512,0.4075814670255011,332,22,0.00029144144429759934,"(10, 5)",adam,"{'nn_model__batch_size': 512, 'nn_model__dropout': 0.4075814670255011, 'nn_model__epochs': 332, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.00029144144429759934, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-99.61248957071697,-99.2697229003906,-99.44110623555378,0.17138333516318482,37,-99.65250793457031,-99.16729578345382,-99.40990185901207,0.24260607555824265,-50.02115226246222,-51.97675323486328,-50.99895274866276,0.977800486200529,46,-50.15384292602539,-51.5113313660866,-50.832587146056,0.6787442200306053
567.7281019687653,1.5126643180847168,6.3284114599227905,0.004571318626403809,64,0.24341672168472012,386,22,0.07092643118312719,"(10, 10, 7, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.24341672168472012, 'nn_model__epochs': 386, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.07092643118312719, 'nn_model__nodes_per_layer': (10, 10, 7, 5), 'nn_model__optimizer': 'adam'}",-720.4527595607087,-863.6072326660154,-792.0299961133621,71.57723655265335,139,-714.9489099121092,-868.7643032336036,-791.8566065728564,76.9076966607472,-130.20400758091648,-186.7276153564453,-158.46581146868087,28.261803887764415,142,-130.64239501953125,-186.40351916412652,-158.52295709182889,27.880562072297636
112.95821416378021,1.2892698049545288,5.607937455177307,0.11512243747711182,256,0.28059809303281247,290,22,0.0058972643499339205,"(10, 10, 5)",adam,"{'nn_model__batch_size': 256, 'nn_model__dropout': 0.28059809303281247, 'nn_model__epochs': 290, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.0058972643499339205, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-153.36049006332019,-143.40534927368157,-148.38291966850088,4.97757039481931,91,-152.43097045898435,-143.46824198653138,-147.94960622275786,4.481364236226483,-77.693679182755,-72.82891845703125,-75.26129881989311,2.4323803628618776,84,-77.56062316894531,-72.75930518690448,-75.1599641779249,2.400658991020414
87.706463098526,3.202613115310669,5.733422040939331,0.2028639316558838,256,0.1453642766276046,245,22,0.0028810044932071383,"(10, 5)",adam,"{'nn_model__batch_size': 256, 'nn_model__dropout': 0.1453642766276046, 'nn_model__epochs': 245, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.0028810044932071383, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-99.99754600221613,-99.87368934631348,-99.9356176742648,0.061928327951321194,56,-99.99766227722168,-99.63157136800767,-99.81461682261468,0.1830454546070044,-86.45793979766397,-41.4325065612793,-63.94522317947163,22.512716618192336,71,-86.55276489257812,-41.12188300405326,-63.83732394831569,22.715440944262433
35.549856185913086,0.2555227279663086,5.958336591720581,0.10393667221069336,128,0.037690620821488274,53,22,0.00029496708666677487,"(10, 5)",adam,"{'nn_model__batch_size': 128, 'nn_model__dropout': 0.037690620821488274, 'nn_model__epochs': 53, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.00029496708666677487, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-99.67946532870499,-99.02375755310058,-99.35161144090279,0.32785388780220615,30,-99.70074104309083,-98.79463996693465,-99.24769050501274,0.45305053807808804,-46.64601306743489,-39.27079772949219,-42.95840539846354,3.687607668971353,18,-45.88248825073242,-38.28803964164747,-42.08526394618995,3.7972243045424747
128.095076918602,3.3817790746688843,6.089280843734741,0.23793268203735352,128,0.22636490463168385,157,22,0.14286326515987452,"(10, 10, 7, 5)",adam,"{'nn_model__batch_size': 128, 'nn_model__dropout': 0.22636490463168385, 'nn_model__epochs': 157, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.14286326515987452, 'nn_model__nodes_per_layer': (10, 10, 7, 5), 'nn_model__optimizer': 'adam'}",-669.4176884537496,-2577.6713891601557,-1623.5445388069527,954.1268503532029,155,-664.2561584472654,-2595.7554594088756,-1630.0058089280706,965.749650480805,-125.61134135091561,-320.94390869140625,-223.27762502116096,97.66628367024532,153,-126.03421783447266,-319.78827691579437,-222.9112473751335,96.87702954066086
36.607234954833984,0.4940764904022217,5.501494765281677,0.16459357738494873,512,0.2840493263130346,157,22,0.0055551232068435175,"(10, 10, 5)",adam,"{'nn_model__batch_size': 512, 'nn_model__dropout': 0.2840493263130346, 'nn_model__epochs': 157, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.0055551232068435175, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-102.07155923533655,-98.74356674194337,-100.40756298863997,1.6639962466965912,64,-100.71600349426265,-98.68738057609968,-99.70169203518117,1.0143114590814832,-86.76180368994801,-49.56004333496094,-68.16092351245449,18.600880177493536,79,-86.85831451416016,-49.09129087767747,-67.97480269591881,18.88351181824134
34.604411602020264,0.5002098083496094,5.621630907058716,0.1182248592376709,512,0.07188341225728229,146,22,0.007084454456522322,"(10, 10, 5)",adam,"{'nn_model__batch_size': 512, 'nn_model__dropout': 0.07188341225728229, 'nn_model__epochs': 146, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.007084454456522322, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-241.64166155755862,-252.5730291748046,-247.10734536618165,5.465683808622984,108,-239.34982025146476,-254.95416674827953,-247.15199349987216,7.802173248407385,-92.23381192646474,-93.12166595458984,-92.67773894052729,0.4439270140625524,105,-92.3400650024414,-93.00275480031195,-92.67140990137668,0.33134489893527075
