mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_nn_model__batch_size,param_nn_model__dropout,param_nn_model__epochs,param_nn_model__input_dim,param_nn_model__learning_rate,param_nn_model__nodes_per_layer,param_nn_model__optimizer,params,split0_test_percentile99,split1_test_percentile99,mean_test_percentile99,std_test_percentile99,rank_test_percentile99,split0_train_percentile99,split1_train_percentile99,mean_train_percentile99,std_train_percentile99,split0_test_MAPE,split1_test_MAPE,mean_test_MAPE,std_test_MAPE,rank_test_MAPE,split0_train_MAPE,split1_train_MAPE,mean_train_MAPE,std_train_MAPE
30.28888475894928,0.3416823148727417,7.843164443969727,0.17782306671142578,512,0.24883183323632463,103,22,0.005635221042987828,"(10, 5)",adam,"{'nn_model__batch_size': 512, 'nn_model__dropout': 0.24883183323632463, 'nn_model__epochs': 103, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.005635221042987828, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-72.34262551652358,-81.17418060302735,-76.75840305977546,4.415777543251885,41,-72.48548736572268,-80.854758707726,-76.67012303672433,4.184635671001665,-39.51594689405787,-38.258766174316406,-38.887356534187134,0.6285903598707314,58,-39.62913131713867,-37.93344778952159,-38.781289553330126,0.8478417638085425
359.5308269262314,2.8036149740219116,9.070496559143066,0.6849348545074463,128,0.38998790405940176,329,22,0.0004004495983697578,"(10, 10, 7, 5)",adam,"{'nn_model__batch_size': 128, 'nn_model__dropout': 0.38998790405940176, 'nn_model__epochs': 329, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.0004004495983697578, 'nn_model__nodes_per_layer': (10, 10, 7, 5), 'nn_model__optimizer': 'adam'}",-85.373367685424,-88.44187927246094,-86.90762347894247,1.5342557935184686,91,-85.70590209960938,-88.20342354392893,-86.95466282176915,1.2487607221597798,-41.5596452899407,-42.52899169921875,-42.04431849457972,0.4846732046390265,73,-41.65681457519531,-42.32617967256993,-41.991497123882624,0.33468254868730796
92.21328628063202,0.7694035768508911,7.85332453250885,0.05683457851409912,512,0.4075814670255011,332,22,0.00029144144429759934,"(10, 5)",adam,"{'nn_model__batch_size': 512, 'nn_model__dropout': 0.4075814670255011, 'nn_model__epochs': 332, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.00029144144429759934, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-85.38912970980498,-85.5597900390625,-85.47445987443373,0.08533016462876475,85,-85.55032196044921,-85.25155459835369,-85.40093827940146,0.1493836810477589,-44.538754338520434,-45.023658752441406,-44.78120654548091,0.2424522069604862,91,-44.669273376464844,-44.79805001905646,-44.73366169776065,0.06438832129580874
814.6414914131165,6.4280829429626465,9.185354351997375,0.05822885036468506,64,0.24341672168472012,386,22,0.07092643118312719,"(10, 10, 7, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.24341672168472012, 'nn_model__epochs': 386, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.07092643118312719, 'nn_model__nodes_per_layer': (10, 10, 7, 5), 'nn_model__optimizer': 'adam'}",-313.6857082550806,-284.2947143554688,-298.99021130527467,14.695496949805914,205,-315.749951171875,-280.61785902147926,-298.1839050966771,17.566046075197875,-175.60467025797007,-124.6280746459961,-150.11637245198307,25.48829780598699,206,-175.54281616210938,-124.14971547847934,-149.84626582029435,25.69655034181502
158.23214781284332,1.0037654638290405,8.117032766342163,0.15741682052612305,256,0.28059809303281247,290,22,0.0058972643499339205,"(10, 10, 5)",adam,"{'nn_model__batch_size': 256, 'nn_model__dropout': 0.28059809303281247, 'nn_model__epochs': 290, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.0058972643499339205, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-83.1358289224739,-95.26563873291018,-89.20073382769205,6.064904905218135,109,-83.23639831542968,-95.09250888618746,-89.16445360080857,5.928055285378889,-51.46555932227118,-42.831573486328125,-47.14856640429966,4.316992917971529,107,-51.47196578979492,-42.52887202039479,-47.00041890509486,4.471546884700064
121.20939755439758,0.8801109790802002,8.438058972358704,0.47069990634918213,256,0.1453642766276046,245,22,0.0028810044932071383,"(10, 5)",adam,"{'nn_model__batch_size': 256, 'nn_model__dropout': 0.1453642766276046, 'nn_model__epochs': 245, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.0028810044932071383, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-71.54758744822253,-67.12572631835938,-69.33665688329096,2.210930564931573,15,-71.60822448730468,-66.69889637469149,-69.15356043099808,2.454664056306598,-33.94946482094547,-33.26852035522461,-33.60899258808504,0.3404722328604315,27,-34.21723175048828,-32.94521319588751,-33.58122247318789,0.6360092773003849
50.63518726825714,0.9245296716690063,8.84804081916809,0.6502492427825928,128,0.037690620821488274,53,22,0.00029496708666677487,"(10, 5)",adam,"{'nn_model__batch_size': 128, 'nn_model__dropout': 0.037690620821488274, 'nn_model__epochs': 53, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.00029496708666677487, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-72.40889543646742,-79.02853546142578,-75.7187154489466,3.309820012479179,36,-72.41360168457032,-78.66548173267742,-75.53954170862387,3.1259400240535484,-29.58524334206386,-32.287879943847656,-30.93656164295576,1.351318300891899,15,-29.68528175354004,-31.872625450871304,-30.77895360220567,1.0936718486656325
176.9500765800476,3.129763603210449,8.445651292800903,0.03233647346496582,128,0.22636490463168385,157,22,0.14286326515987452,"(10, 10, 7, 5)",adam,"{'nn_model__batch_size': 128, 'nn_model__dropout': 0.22636490463168385, 'nn_model__epochs': 157, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.14286326515987452, 'nn_model__nodes_per_layer': (10, 10, 7, 5), 'nn_model__optimizer': 'adam'}",-2469.084098015004,-1453.0332031250002,-1961.0586505700026,508.02544744500204,263,-2493.90185546875,-1438.1741921698315,-1966.0380238192906,527.8638316494593,-840.5534559263172,-486.8902893066406,-663.7218726164789,176.83158330983827,262,-840.0790405273438,-487.02066874245776,-663.5498546349007,176.529185892443
50.91703701019287,0.6482188701629639,7.907907485961914,0.2436835765838623,512,0.2840493263130346,157,22,0.0055551232068435175,"(10, 10, 5)",adam,"{'nn_model__batch_size': 512, 'nn_model__dropout': 0.2840493263130346, 'nn_model__epochs': 157, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.0055551232068435175, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-97.70870257609096,-77.4421630859375,-87.57543283101423,10.133269745076731,99,-97.85738525390624,-77.21011990475377,-87.53375257933001,10.323632674576238,-53.25439218459451,-49.169734954833984,-51.212063569714246,2.0423286148802617,119,-53.51409149169922,-49.019377450115115,-51.26673447090717,2.2473570207920517
47.55235409736633,0.3795042037963867,8.199135422706604,0.15975677967071533,512,0.07188341225728229,146,22,0.007084454456522322,"(10, 10, 5)",adam,"{'nn_model__batch_size': 512, 'nn_model__dropout': 0.07188341225728229, 'nn_model__epochs': 146, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.007084454456522322, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-67.19153993140498,-77.27536773681646,-72.23345383411072,5.041913902705744,24,-67.29697265625002,-76.55996760777526,-71.92847013201265,4.631497475762622,-31.328138788075798,-34.17401123046875,-32.75107500927228,1.4229362211964762,21,-31.56598472595215,-33.75252533387686,-32.659255029914505,1.0932703039623561
