mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_nn_model__batch_size,param_nn_model__dropout,param_nn_model__epochs,param_nn_model__input_dim,param_nn_model__learning_rate,param_nn_model__nodes_per_layer,param_nn_model__optimizer,params,split0_test_percentile99,split1_test_percentile99,mean_test_percentile99,std_test_percentile99,rank_test_percentile99,split0_test_MAPE,split1_test_MAPE,mean_test_MAPE,std_test_MAPE,rank_test_MAPE
248.78623378276825,0.291218638420105,4.917532801628113,0.11021435260772705,64,0.1,200,22,0.01,"(10, 10, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.1, 'nn_model__epochs': 200, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.01, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-205.29989445674144,-202.27269882202143,-203.78629663938142,1.513597817360008,133,-111.83494266110439,-90.35533142089844,-101.09513704100141,10.739805620102977,140
332.121608376503,5.467958331108093,4.9625004529953,0.12501347064971924,64,0.1,300,22,0.001,"(10, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.1, 'nn_model__epochs': 300, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.001, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-99.74686853738862,-151.95709609985326,-125.85198231862094,26.10511378123232,92,-38.09758587870717,-37.61033248901367,-37.853959183860425,0.24362669484674981,32
376.2535676956177,3.2236077785491943,4.956703066825867,0.0021969079971313477,64,0.1,300,22,0.001,"(10, 10, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.1, 'nn_model__epochs': 300, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.001, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-97.04082861935213,-97.76698097229004,-97.40390479582109,0.36307617646895807,2,-32.68547964665722,-35.907379150390625,-34.29642939852393,1.610949751866702,7
328.28370237350464,2.7811667919158936,4.881314039230347,0.012890100479125977,64,0.1,300,22,0.005,"(10, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.1, 'nn_model__epochs': 300, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.005, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-151.02371382572176,-209.78249755859372,-180.40310569215774,29.37939186643598,123,-43.33946787885363,-40.783485412597656,-42.06147664572565,1.2779912331279881,54
369.51597237586975,0.5909087657928467,5.0717374086380005,0.026470065116882324,64,0.1,300,22,0.005,"(10, 10, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.1, 'nn_model__epochs': 300, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.005, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-209.31886090595137,-97.82396392822267,-153.571412417087,55.74744848886435,110,-90.51623973784291,-41.54299545288086,-66.02961759536188,24.486622142481025,110
330.4118354320526,2.254655599594116,5.049039721488953,0.10926997661590576,64,0.1,300,22,0.01,"(10, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.1, 'nn_model__epochs': 300, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.01, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-237.45780149346444,-112.86592506408658,-175.1618632787755,62.29593821468893,122,-42.33493498454659,-33.02469253540039,-37.67981375997349,4.655121224573101,29
372.33782160282135,1.533713936805725,5.13552188873291,0.04308438301086426,64,0.1,300,22,0.01,"(10, 10, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.1, 'nn_model__epochs': 300, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.01, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-99.99954177134836,-197.6695901489257,-148.834565960137,48.835024188788665,107,-97.28907803754467,-90.13050842285156,-93.70979323019812,3.5792848073465535,135
110.6527853012085,0.31186509132385254,5.0739500522613525,0.012218713760375977,64,0.2,100,22,0.001,"(10, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.2, 'nn_model__epochs': 100, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.001, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-97.50635488498853,-98.88391006469723,-98.19513247484288,0.6887775898543538,14,-45.54227042096004,-37.623268127441406,-41.58276927420072,3.9595011467593153,51
125.5490882396698,1.0311148166656494,4.933063983917236,0.04751753807067871,64,0.2,100,22,0.001,"(10, 10, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.2, 'nn_model__epochs': 100, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.001, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-101.1920138081195,-98.109757232666,-99.65088552039275,1.5411282877267496,44,-42.35261444445485,-38.79212951660156,-40.5723719805282,1.780242463926644,49
113.12106001377106,1.6222091913223267,5.062264323234558,0.02631199359893799,64,0.2,100,22,0.005,"(10, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.2, 'nn_model__epochs': 100, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.005, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-108.36390007495781,-264.55965393066384,-186.46177700281083,78.09787692785301,125,-37.15331737099158,-52.28582763671875,-44.71957250385516,7.566255132863585,78
